🕘️更新时间,#genre#
Xinjiang TV 3,http://10.0.0.66:8080/hls/1bf24b9bba6d400e38786d0a.m3u8
Xinjiang TV 8,http://10.0.0.66:8080/hls/2baa9e4d38ca06bf3cf350aa.m3u8
Xizang TV Tibetan (720p) [Not 24/7],http://10.0.0.66:8080/hls/3fd5c003b0e682c08964df6e.m3u8
Zhejiang TV International,http://10.0.0.66:8080/hls/f33a7cfcd5f7c8c766252ef7.m3u8
东方卫视 (2160p),http://10.0.0.66:8080/hls/f63b32848c4d28e8c5c2698b.m3u8
中国气象 (576p) [Not 24/7],http://10.0.0.66:8080/hls/3afb2baef446d6ead1966f96.m3u8
云南卫视 (1080p),http://10.0.0.66:8080/hls/f7c830712b43f849aafe2dcc.m3u8
优漫卡通,http://10.0.0.66:8080/hls/5b30001c6e69cdeb502c9b27.m3u8
兵团卫视 (540p) [Not 24/7],http://10.0.0.66:8080/hls/6fb1a8b4d5d5d83e9aa3011a.m3u8
动作电影,http://10.0.0.66:8080/hls/b82c1840c052e59866202366.m3u8
北京卫视,http://10.0.0.66:8080/hls/372b97dd9f58ac8c354d066a.m3u8
发现之旅,http://10.0.0.66:8080/hls/5a6d95efbbb468101b5e7152.m3u8
吉林卫视 (2160p),http://10.0.0.66:8080/hls/f6bb2c9a18cc7d2e9fee7103.m3u8
和政电视台,http://10.0.0.66:8080/hls/e280a96d8d9eb7f51aa27dc5.m3u8
四川卫视,http://10.0.0.66:8080/hls/df638612d88959499a42ed48.m3u8
四川妇女儿童 (720p) [Not 24/7],http://10.0.0.66:8080/hls/d803b3d2b8ca0a58c23a39ce.m3u8
天津卫视 (1080p),http://10.0.0.66:8080/hls/df82e6fc0f27210a104987b8.m3u8
宁夏卫视 (576p),http://10.0.0.66:8080/hls/bd67d6e2c98d31fc7fec2259.m3u8
家庭影院 (1080p),http://10.0.0.66:8080/hls/bfa512c0608217b3ba206578.m3u8
山东体育 (1080p) [Geo-blocked],http://10.0.0.66:8080/hls/6f7d49a52cd7863095c3c653.m3u8
山东农科 (406p) [Geo-blocked],http://10.0.0.66:8080/hls/9a3f99a8d0dda10bfc92f6ea.m3u8
山东卫视 (720p),http://10.0.0.66:8080/hls/df0b9ce872da53a6399ae53e.m3u8
山东卫视 (1080p),http://10.0.0.66:8080/hls/6729b04a880854a25192145a.m3u8
山东少儿 (406p) [Geo-blocked],http://10.0.0.66:8080/hls/e74377c3f6e05f76fe82a710.m3u8
山东生活 (1080p) [Geo-blocked],http://10.0.0.66:8080/hls/1de30f24c6b0460dce08dbad.m3u8
山东综艺 (406p) [Geo-blocked],http://10.0.0.66:8080/hls/d74ffd83ae2b0e8936d9abf0.m3u8
山东齐鲁 (1080p) [Geo-blocked],http://10.0.0.66:8080/hls/8d1c96c719607c09933e4cba.m3u8
山西卫视 (2160p),http://10.0.0.66:8080/hls/fa6459ea77566a2322a82412.m3u8
广东卫视 (2160p),http://10.0.0.66:8080/hls/c03f3c571735a9470830bf1c.m3u8
广西卫视 (576p),http://10.0.0.66:8080/hls/4c246efff579cb53f98dcce5.m3u8
康巴卫视 (720p) [Not 24/7],http://10.0.0.66:8080/hls/b44d5024f9ad430081a3352e.m3u8
徐州經濟生活 (1080p),http://10.0.0.66:8080/hls/329151447726ff1946984711.m3u8
敦煌电视台 (1080p),http://10.0.0.66:8080/hls/04c1dcd439468441131ae90f.m3u8
江苏体育 (576p),http://10.0.0.66:8080/hls/8cc018eb39092d61ff43158e.m3u8
江苏公共 (576p),http://10.0.0.66:8080/hls/2f567bda9fd917361e84f58a.m3u8
江苏卫视 (1080p),http://10.0.0.66:8080/hls/f64d2a072d65121bb8f9434a.m3u8
江苏城市 (576p),http://10.0.0.66:8080/hls/3240573073174bf6b1630a14.m3u8
江苏影视 (576p),http://10.0.0.66:8080/hls/e1cfe4ee02383dd99a0c330f.m3u8
江苏教育 (576p),http://10.0.0.66:8080/hls/6eaf94ec481249fa7c6659b9.m3u8
江苏综艺 (576p) [Not 24/7],http://10.0.0.66:8080/hls/b1ddbe3920b594c486a6ce7a.m3u8
江西卫视 (1080p),http://10.0.0.66:8080/hls/dec5737d3cf2bb8d3699e359.m3u8
河南卫视 (2160p),http://10.0.0.66:8080/hls/cbd2fc350b136682e637c4a7.m3u8
浙江卫视 (1080p),http://10.0.0.66:8080/hls/49826b25cca0d6ca7026e96d.m3u8
海南卫视 (576p),http://10.0.0.66:8080/hls/bd3a01968a7401e92a10c6c9.m3u8
湖北卫视 (1080p),http://10.0.0.66:8080/hls/8f3a4aa71dfd1f9edc807c68.m3u8
滁州市广播电视台 公共频道 (400p),http://10.0.0.66:8080/hls/9e02f1abc44abfe16d81caa1.m3u8
滁州市广播电视台 新闻综合频道 (1080p),http://10.0.0.66:8080/hls/ac8f7bd388e4a8a736616292.m3u8
滁州科教 (450p),http://10.0.0.66:8080/hls/fd173d2961351102e16a7ed5.m3u8
甘肃卫视 (576p),http://10.0.0.66:8080/hls/668612150cf4898c360f0ca2.m3u8
白城新闻综合 [Geo-blocked],http://10.0.0.66:8080/hls/b2a4cfc0c9b40b048ea23eb4.m3u8
纪实人文 (1080p),http://10.0.0.66:8080/hls/b6b3b63145454ace27c05d7a.m3u8
萍鄉新聞綜合 (576p) [Not 24/7],http://10.0.0.66:8080/hls/ae3e95e86dae295a628fc51b.m3u8
